"case_id","case_total_value"
1050,"4700"
1043,"4600"
1057,"4550"
1037,"4500"
1012,"4300"
1019,"4200"
1029,"4200"
1003,"4200"
1049,"4100"
1008,"4100"
1022,"4100"
1061,"4050"
1060,"4050"
1016,"4000"
1036,"4000"
1026,"4000"
1056,"3950"
1011,"3900"
1021,"3800"
1007,"3800"
1024,"3700"
1014,"3700"
1048,"3600"
1006,"3600"
1027,"3600"
1017,"3600"
1001,"3500"
1042,"3500"
1055,"3450"
1035,"3400"
1023,"3400"
1009,"3400"
1046,"3400"
1044,"3350"
1058,"3300"
1031,"3300"
1018,"3300"
1028,"3300"
1040,"3300"
1038,"3250"
1053,"3250"
1051,"3250"
1013,"3200"
1033,"3200"
1004,"3100"
1030,"2900"
1020,"2900"
1005,"2900"
1015,"2800"
1025,"2800"
1002,"2800"
1010,"2700"
1045,"2600"
1052,"2550"
1032,"2500"
1059,"2450"
1039,"2400"
1047,"2400"
1041,"2300"
1034,"2200"
1054,"2150"
