"assigned_to","period","total_cases","wc","lc","win_rate_pct","avg_resolution_days"
"user_1","2024-02-01","3","2","1","66.67","23.666666666666668"
"user_1","2024-03-01","4","2","2","50.00","39"
"user_1","2024-04-01","7","6","1","85.71","57"
"user_2","2024-01-01","1","0","1","0.00","5"
"user_2","2024-02-01","3","3","0","100.00","13"
"user_2","2024-03-01","4","2","2","50.00","27.5"
"user_2","2024-04-01","8","4","4","50.00","50.125"
"user_3","2024-02-01","2","0","2","0.00","16"
"user_3","2024-03-01","4","2","2","50.00","25.75"
"user_3","2024-04-01","9","6","3","66.67","45.77777777777778"
